ID,取引価格（総額）_log
1000077,7.946903489614178
1000129,6.782938719227106
1000130,7.12194537114926
1000132,7.128885633547109
1000133,6.6442461923734495
1000134,7.6536889081928
1000135,7.539263104669341
1000417,6.440396212914608
1000419,6.3900799122727445
1000420,7.913489691923784
1000421,7.721117623168217
1000424,7.456159616889278
1000426,7.367394520374959
1000591,7.380246404679738
1000593,7.401763480682637
1000594,7.562604508150267
1000773,6.768837966802277
1000774,6.840698591132596
1000776,6.717313203409337
1000838,7.168076895186958
1000841,7.124060622836819
1000845,7.606038366029301
1000848,7.139306295588445
1000851,6.481221160214963
1001023,7.639380679954334
1001025,7.59594549886831
1001027,7.840101097438242
1001161,7.118444282265321
1001200,7.711625968708964
1001201,7.515154983934407
1001328,6.539155173134156
1001330,7.382565740108354
1001429,7.329890615026765
1001432,7.560487662504047
1001513,7.420205352760997
1001575,7.245698647204482
1001578,7.494738552887602
1001637,7.371237713356732
1001712,6.684854988728719
1001888,7.547514813621093
1001942,7.719693468365855
1001945,7.635860686041476
1001948,7.363746000790739
1001954,7.866099024901686
1001957,7.28542026078027
1002322,7.6006918120412
1002753,7.388062004331106
1002850,7.546939595632252
1002906,7.335204464499869
1002907,6.635488693363886
1002948,7.361204724384291
1002950,7.054771820478915
1002952,6.982942310783583
1003048,7.667709378619568
1003051,6.77682487642646
1003052,7.457275454087845
1003054,6.986575648188356
1003056,6.417064092053118
1003059,7.61658586866925
1003062,7.495018353549141
1003064,7.613477320821724
1003203,7.635494759469528
1003289,6.9973628560575305
1003291,7.524210943901913
1003418,7.58648258645713
1003421,7.159277174135987
1003424,6.864302187589578
1003607,7.275108821000181
1003682,7.294353948366735
1003785,7.5881924166527375
1003914,7.028456534797844
1003977,7.4194023973169205
1004102,7.564630945824496
1004599,7.573515536012225
1004738,7.569075677199795
1004801,7.60273233906529
1004805,7.579717268314222
1005034,7.064139372408353
1005105,7.168857266432649
1005110,7.578099228258802
1005116,7.499473639458505
1005121,7.504158449250501
1005203,6.5433219669103995
1005255,7.450488445789601
1005266,6.961174453831531
1005268,6.869745231715715
1005270,7.594979008763678
1005273,6.901556841423297
1005367,7.755338363316373
1005377,7.633349172315132
1005378,7.4991031417316245
1005380,7.465854752329667
1005382,7.562649528111325
1005575,7.608547465107335
1005596,6.5089236752961925
1005598,6.836836079182207
1005654,7.375683958629304
1005658,7.492742687493315
1005662,7.400400978864281
1005666,7.539908874920429
1005670,7.391808360906099
1005673,7.535208606477672
1005676,6.618250171446643
1005678,6.9177888158119405
1005811,6.887265972903934
1005813,7.527132639530566
1005942,6.31109636413881
1005943,6.987958252311746
1005945,6.343785805345502
1006265,7.429526838166426
1006427,7.058274970465827
1006431,6.698505310064135
1006435,6.234259300964768
1006580,7.3146267042930635
1006650,7.262772783226159
1006653,7.138245937522424
1006797,7.3915550348078245
1007115,7.569835993466955
1007180,7.059642778229076
1007356,6.733804824995709
1007424,6.983822849923208
1007426,7.172799886279215
1007429,6.841098981330757
1007507,6.898317586535725
1007511,6.997387148426813
1007802,6.962964712541489
1008066,7.191910376758597
1008069,6.952184556340488
1008173,6.190501832625995
